target,new_brand,cleaned_tweet,tokenized_tweet,cleaned_tweet_str
-1.0,apple,3g iphone hrs tweeting dead need upgrade plugin stations,"['3g', 'iphone', 'hr', 'tweeting', 'dead', 'need', 'upgrade', 'plugin', 'station']",3 g   i p h o n e   h r s   t w e e t i n g   d e a d   n e e d   u p g r a d e   p l u g i n   s t a t i o n s
1.0,apple,know awesome ipadiphone app youll likely appreciate design also theyre giving free ts,"['know', 'awesome', 'ipadiphone', 'app', 'youll', 'likely', 'appreciate', 'design', 'also', 'theyre', 'giving', 'free', 't']",k n o w   a w e s o m e   i p a d i p h o n e   a p p   y o u l l   l i k e l y   a p p r e c i a t e   d e s i g n   a l s o   t h e y r e   g i v i n g   f r e e   t s
1.0,apple,wait also sale,"['wait', 'also', 'sale']",w a i t   a l s o   s a l e
-1.0,apple,hope years festival isnt crashy years iphone app,"['hope', 'year', 'festival', 'isnt', 'crashy', 'year', 'iphone', 'app']",h o p e   y e a r s   f e s t i v a l   i s n t   c r a s h y   y e a r s   i p h o n e   a p p
1.0,apple,beautifully sma simple idea wrote ipad app,"['beautifully', 'sma', 'simple', 'idea', 'wrote', 'ipad', 'app']",b e a u t i f u l l y   s m a   s i m p l e   i d e a   w r o t e   i p a d   a p p
1.0,apple,counting days plus strong canadian dollar means stock apple gear,"['counting', 'day', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'apple', 'gear']",c o u n t i n g   d a y s   p l u s   s t r o n g   c a n a d i a n   d o l l a r   m e a n s   s t o c k   a p p l e   g e a r
1.0,apple,great ipad app,"['great', 'ipad', 'app']",g r e a t   i p a d   a p p
1.0,apple,haha awesomely rad ipad app,"['haha', 'awesomely', 'rad', 'ipad', 'app']",h a h a   a w e s o m e l y   r a d   i p a d   a p p
-1.0,apple,noticed dst coming weekend many iphone users hour late come sunday morning,"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'come', 'sunday', 'morning']",n o t i c e d   d s t   c o m i n g   w e e k e n d   m a n y   i p h o n e   u s e r s   h o u r   l a t e   c o m e   s u n d a y   m o r n i n g
1.0,apple,added flights matching people planesairpos also downloaded iphone app nicely done,"['added', 'flight', 'matching', 'people', 'planesairpos', 'also', 'downloaded', 'iphone', 'app', 'nicely', 'done']",a d d e d   f l i g h t s   m a t c h i n g   p e o p l e   p l a n e s a i r p o s   a l s o   d o w n l o a d e d   i p h o n e   a p p   n i c e l y   d o n e
1.0,apple,must app lovely review forbes ipad app holler gram,"['must', 'app', 'lovely', 'review', 'forbes', 'ipad', 'app', 'holler', 'gram']",m u s t   a p p   l o v e l y   r e v i e w   f o r b e s   i p a d   a p p   h o l l e r   g r a m
1.0,apple,need buy ipad2 im sure ill need q apple store,"['need', 'buy', 'ipad', '2', 'im', 'sure', 'ill', 'need', 'q', 'apple', 'store']",n e e d   b u y   i p a d 2   i m   s u r e   i l l   n e e d   q   a p p l e   s t o r e
1.0,apple,oh god app ipad pure unadulterated awesome easier browse events ipad website,"['oh', 'god', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']",o h   g o d   a p p   i p a d   p u r e   u n a d u l t e r a t e d   a w e s o m e   e a s i e r   b r o w s e   e v e n t s   i p a d   w e b s i t e
1.0,apple,photo installed iphone app really nice,"['photo', 'installed', 'iphone', 'app', 'really', 'nice']",p h o t o   i n s t a l l e d   i p h o n e   a p p   r e a l l y   n i c e
1.0,apple,im looking forward pre pay wed hoping ill win resulting shameless promotion,"['im', 'looking', 'forward', 'pre', 'pay', 'wed', 'hoping', 'ill', 'win', 'resulting', 'shameless', 'promotion']",i m   l o o k i n g   f o r w a r d   p r e   p a y   w e d   h o p i n g   i l l   w i n   r e s u l t i n g   s h a m e l e s s   p r o m o t i o n
1.0,apple,haha awesomely rad ipad app via,"['haha', 'awesomely', 'rad', 'ipad', 'app', 'via']",h a h a   a w e s o m e l y   r a d   i p a d   a p p   v i a
1.0,both,new looks like going rock update iphone android push tonight,"['new', 'look', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight']",n e w   l o o k s   l i k e   g o i n g   r o c k   u p d a t e   i p h o n e   a n d r o i d   p u s h   t o n i g h t
1.0,apple,sma ipad app may leave vuvuzela home,"['sma', 'ipad', 'app', 'may', 'leave', 'vuvuzela', 'home']",s m a   i p a d   a p p   m a y   l e a v e   v u v u z e l a   h o m e
1.0,apple,must app ipad going,"['must', 'app', 'ipad', 'going']",m u s t   a p p   i p a d   g o i n g
1.0,apple,best ha first line quotpopupquot apple store event planner,"['best', 'ha', 'first', 'line', 'quotpopupquot', 'apple', 'store', 'event', 'planner']",b e s t   h a   f i r s t   l i n e   q u o t p o p u p q u o t   a p p l e   s t o r e   e v e n t   p l a n n e r
1.0,apple,great weather greet still need sweater nightapple putting quotflash storequot downtown sell ipad2,"['great', 'weather', 'greet', 'still', 'need', 'sweater', 'nightapple', 'putting', 'quotflash', 'storequot', 'downtown', 'sell', 'ipad', '2']",g r e a t   w e a t h e r   g r e e t   s t i l l   n e e d   s w e a t e r   n i g h t a p p l e   p u t t i n g   q u o t f l a s h   s t o r e q u o t   d o w n t o w n   s e l l   i p a d 2
-1.0,apple,hey long think takes us make iphone case answer using weuall make one,"['hey', 'long', 'think', 'take', 'u', 'make', 'iphone', 'case', 'answer', 'using', 'weuall', 'make', 'one']",h e y   l o n g   t h i n k   t a k e s   u s   m a k e   i p h o n e   c a s e   a n s w e r   u s i n g   w e u a l l   m a k e   o n e
1.0,apple,uua opens instant access waited get one,"['uua', 'open', 'instant', 'access', 'waited', 'get', 'one']",u u a   o p e n s   i n s t a n t   a c c e s s   w a i t e d   g e t   o n e
1.0,apple,handheld uhoboua drafthouse launches uhobo shotgunua iphone app,"['handheld', 'uhoboua', 'drafthouse', 'launch', 'uhobo', 'shotgunua', 'iphone', 'app']",h a n d h e l d   u h o b o u a   d r a f t h o u s e   l a u n c h e s   u h o b o   s h o t g u n u a   i p h o n e   a p p
1.0,apple,hooray ui apple opening popup store,"['hooray', 'ui', 'apple', 'opening', 'popup', 'store']",h o o r a y   u i   a p p l e   o p e n i n g   p o p u p   s t o r e
1.0,apple,wooooo ui apple store downtown open til midnight u,"['wooooo', 'ui', 'apple', 'store', 'downtown', 'open', 'til', 'midnight', 'u']",w o o o o o   u i   a p p l e   s t o r e   d o w n t o w n   o p e n   t i l   m i d n i g h t   u
1.0,apple,1st stop amp hunt java get spy game chance win ipad,"['1st', 'stop', 'amp', 'hunt', 'java', 'get', 'spy', 'game', 'chance', 'win', 'ipad']",1 s t   s t o p   a m p   h u n t   j a v a   g e t   s p y   g a m e   c h a n c e   w i n   i p a d
1.0,apple,heard apples popup store downtown pics already gowalla,"['heard', 'apple', 'popup', 'store', 'downtown', 'pic', 'already', 'gowalla']",h e a r d   a p p l e s   p o p u p   s t o r e   d o w n t o w n   p i c s   a l r e a d y   g o w a l l a
-1.0,apple,line apple store insane,"['line', 'apple', 'store', 'insane']",l i n e   a p p l e   s t o r e   i n s a n e
-1.0,apple,attending ipad design headaches,"['attending', 'ipad', 'design', 'headache']",a t t e n d i n g   i p a d   d e s i g n   h e a d a c h e s
-1.0,both,boooo flipboard developing iphone version android says,"['boooo', 'flipboard', 'developing', 'iphone', 'version', 'android', 'say']",b o o o o   f l i p b o a r d   d e v e l o p i n g   i p h o n e   v e r s i o n   a n d r o i d   s a y s
1.0,apple,check amp line ipad power,"['check', 'amp', 'line', 'ipad', 'power']",c h e c k   a m p   l i n e   i p a d   p o w e r
1.0,apple,love iphone case cant get phone,"['love', 'iphone', 'case', 'cant', 'get', 'phone']",l o v e   i p h o n e   c a s e   c a n t   g e t   p h o n e
1.0,apple,new post iphone app makes easy connect social networks people meet,"['new', 'post', 'iphone', 'app', 'make', 'easy', 'connect', 'social', 'network', 'people', 'meet']",n e w   p o s t   i p h o n e   a p p   m a k e s   e a s y   c o n n e c t   s o c i a l   n e t w o r k s   p e o p l e   m e e t
1.0,apple,nice iphone app behaving today crashes yesterday ridiculous,"['nice', 'iphone', 'app', 'behaving', 'today', 'crash', 'yesterday', 'ridiculous']",n i c e   i p h o n e   a p p   b e h a v i n g   t o d a y   c r a s h e s   y e s t e r d a y   r i d i c u l o u s
